,Марка,Объем багажника минимальный [л],Объем багажника максимальный [л],Тип кузова,Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
193,BMW,425.0,425.0,Седан,1490.0,460.0,140.0,90.0,55.0,14.2,171.0,9.6,6.2,8.0
194,BMW,425.0,425.0,Седан,1470.0,460.0,140.0,90.0,55.0,12.2,175.0,9.6,6.0,7.8
195,BMW,425.0,425.0,Седан,1545.0,460.0,143.0,100.0,55.0,14.1,177.0,10.1,6.3,8.2
196,BMW,425.0,425.0,Седан,1490.0,460.0,140.0,102.0,55.0,14.1,175.0,10.7,7.0,8.9
197,BMW,425.0,425.0,Седан,1545.0,460.0,141.0,100.0,55.0,14.1,177.0,10.5,6.9,8.7
198,BMW,425.0,425.0,Седан,1525.0,460.0,141.0,100.0,55.0,12.1,182.0,10.3,6.7,8.5
199,BMW,425.0,425.0,Седан,1525.0,460.0,143.0,100.0,55.0,12.1,182.0,9.7,6.0,7.9
200,BMW,425.0,425.0,Седан,1470.0,460.0,140.0,102.0,55.0,12.1,182.0,10.7,6.6,8.6
201,BMW,425.0,425.0,Седан,1545.0,460.0,165.0,115.0,55.0,11.9,186.0,9.8,6.0,7.6
202,BMW,425.0,425.0,Седан,1545.0,460.0,162.0,113.0,55.0,12.1,184.0,10.4,6.7,8.6
203,BMW,425.0,425.0,Седан,1525.0,460.0,162.0,113.0,55.0,10.8,188.0,10.3,6.7,8.5
204,BMW,425.0,425.0,Седан,1525.0,460.0,165.0,115.0,55.0,10.8,189.0,9.7,5.9,7.6
205,BMW,425.0,425.0,Седан,1645.0,440.0,172.0,136.0,55.0,,199.0,10.7,8.7,
206,BMW,425.0,425.0,Седан,1565.0,440.0,172.0,136.0,55.0,9.9,202.0,10.9,6.4,8.5
207,BMW,425.0,425.0,Седан,1605.0,460.0,174.0,129.0,64.0,11.5,193.0,12.4,6.8,8.8
208,BMW,425.0,425.0,Седан,1605.0,460.0,164.0,129.0,64.0,12.7,188.0,12.9,7.5,10.0
209,BMW,425.0,425.0,Седан,1585.0,460.0,164.0,129.0,64.0,10.6,197.0,12.8,7.5,9.9
210,BMW,425.0,425.0,Седан,1585.0,460.0,174.0,129.0,64.0,10.2,198.0,12.2,6.7,8.7
211,BMW,425.0,425.0,Седан,1580.0,400.0,210.0,192.0,64.0,7.9,227.0,12.8,6.3,9.0
212,BMW,425.0,425.0,Седан,1675.0,460.0,152.0,86.0,55.0,18.5,158.0,9.6,5.3,7.3
213,BMW,425.0,425.0,Седан,1655.0,460.0,152.0,86.0,55.0,16.1,165.0,8.7,5.0,6.9
214,BMW,425.0,425.0,Седан,1740.0,460.0,220.0,116.0,55.0,12.8,182.0,8.9,5.2,7.0
215,BMW,425.0,425.0,Седан,1720.0,460.0,220.0,116.0,55.0,11.9,187.0,8.9,5.2,7.0
216,BMW,425.0,425.0,Седан,1710.0,440.0,231.0,129.0,62.0,,183.0,11.8,9.8,
