,Объем багажника минимальный [л],Объем багажника максимальный [л],Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
0,520.0,520.0,2230.0,520.0,380.0,184.0,70.0,8.1,234.0,5.4,4.0,4.5
1,430.0,430.0,2072.5,520.0,407.0,304.0,55.0,4.9,253.0,17.2,10.8,13.1
2,440.0,440.0,1810.0,520.0,212.0,150.0,70.0,13.1,185.0,12.4,7.2,11.4
3,460.0,470.0,1520.0,520.0,149.0,76.0,50.0,16.4,148.0,12.4,7.2,5.9
4,404.0,404.0,1740.0,460.0,226.0,171.0,55.0,9.0,214.0,12.6,7.1,9.5
5,515.0,515.0,2570.0,520.0,270.0,320.0,78.0,5.3,250.0,6.3,4.3,5.0
6,425.0,425.0,1720.0,460.0,220.0,116.0,55.0,11.9,187.0,8.9,5.2,7.0
7,460.0,460.0,1990.0,510.0,250.0,192.0,80.0,8.6,230.0,12.1,6.8,9.0
8,460.0,470.0,1465.0,475.0,114.0,60.0,50.0,16.8,148.0,6.5,5.0,5.8
9,460.0,460.0,1760.0,510.0,240.0,125.0,70.0,10.7,185.0,11.4,5.9,8.3
10,435.0,435.0,1740.0,460.0,175.0,140.0,65.0,11.6,207.0,11.3,6.4,8.5
11,460.0,470.0,2350.0,520.0,233.0,141.0,75.0,12.5,165.0,16.1,10.4,14.5
12,425.0,425.0,1525.0,460.0,143.0,100.0,55.0,12.1,182.0,9.7,6.0,7.9
13,460.0,460.0,1910.0,510.0,168.0,116.0,80.0,13.7,192.0,11.5,6.2,8.6
14,500.0,500.0,2505.0,520.0,310.0,258.0,80.0,7.4,250.0,12.4,6.3,8.6
15,440.0,440.0,1770.0,460.0,160.0,122.0,70.0,12.4,180.0,12.4,7.2,10.3
16,460.0,470.0,2410.0,535.0,270.0,177.0,80.0,4.2,250.0,14.0,7.6,9.9
17,440.0,440.0,1915.0,500.0,330.0,150.0,63.0,8.9,216.0,7.6,4.4,5.5
18,460.0,470.0,1850.0,520.0,226.0,170.0,59.0,9.6,205.0,10.7,8.1,9.4
19,460.0,460.0,2150.0,480.0,360.0,315.0,80.0,6.3,250.0,18.1,8.2,11.9
20,460.0,460.0,1890.0,520.0,210.0,170.0,63.0,8.2,228.0,8.3,5.3,6.4
21,500.0,500.0,2300.0,520.0,520.0,177.0,70.0,4.7,250.0,12.4,10.2,14.4
22,500.0,500.0,2600.0,520.0,270.0,177.0,80.0,4.8,250.0,11.9,6.6,8.6
23,440.0,440.0,1810.0,520.0,215.0,145.0,70.0,9.6,185.0,12.4,7.2,9.2
24,500.0,500.0,2475.0,580.0,390.0,306.0,88.0,6.8,250.0,16.3,8.2,11.2
25,520.0,520.0,2235.0,520.0,360.0,143.0,70.0,9.6,212.0,5.3,4.1,4.5
26,460.0,470.0,2072.5,520.0,226.0,168.0,55.0,9.6,205.0,11.2,8.7,9.2
